3,0.18,0.16
5,0.39,0.27
10,0.52,0.53
20,1.11,1.11
30,1.69,1.62
50,2.70,2.72
70,4.18,3.90
100,5.50,5.42
200,10.39,10.47
300,15.83,16.93
500,27.28,28.29
700,40.46,38.94
1024,64.81,59.42
