3,0.67,0.03
5,0.08,0.04
10,0.14,0.05
20,0.28,0.09
30,0.41,0.13
50,0.63,0.20
70,0.94,0.27
100,2.78,0.40
200,2.72,0.75
300,0.48,1.14
500,0.90,3.29
700,14.30,13.06
1024,33.29,6.95
